"message_id","action","message_type","reason","confidence","evidence_message_ids"
"msg_023","digest","business_update","The verified business message is legitimate but does not require immediate attention.","0.84","message_0243"
"msg_091","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0238"
"msg_090","mute","personal","This is the first message from the sender and it asks for sensitive verification or payment.","0.81","none"
"msg_048","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0151"
"msg_040","mute","forward","The sender has a pattern of repeated forwards or greetings that the user usually ignores.","0.87","message_0136"
"msg_075","notify","urgent","A verified business is sending an update that matches the user's recent order history.","0.91","message_0206"
"msg_005","notify","personal","A close contact sent a short urgent request that should interrupt the user.","0.91","message_0049"
"msg_104","mute","personal","Similar historical messages were ignored, dismissed, or muted by this user.","0.81","message_0224"
"msg_069","mute","forward","The user has muted this group and the message does not address them directly.","0.87","message_0193"
"msg_107","mute","scam","The message tries to instruct the router, but the routing decision should be based on the actual content and risk.","0.87","message_0213"
"msg_070","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0045"
"msg_003","digest","business_update","The verified business message is legitimate but does not require immediate attention.","0.78","message_0031"
"msg_099","digest","business_update","A verified business is sending a legitimate but non-urgent update.","0.78","message_0227"
"msg_008","digest","business_update","The verified business message is legitimate but does not require immediate attention.","0.84","message_0072"
"msg_092","digest","business_update","The verified business message is legitimate but does not require immediate attention.","0.78","none"
"msg_060","notify","urgent","The message is from a work context and contains a direct deadline or meeting dependency.","0.91","message_0284"
"msg_004","digest","business_update","The verified business message is legitimate but does not require immediate attention.","0.78","message_0245"
"msg_030","mute","promotion","The user has muted this group and the message does not address them directly.","0.87","message_0115"
"msg_045","notify","urgent","A close contact sent a short urgent request that should interrupt the user.","0.87","none"
"msg_052","mute","scam","This is the first message from the sender and it asks for sensitive verification or payment.","0.87","message_0207"
"msg_009","mute","event","The user has muted this group and the message does not address them directly.","0.81","message_0074"
"msg_071","digest","personal","The message is safe casual chat with no urgent action required.","0.82","message_0197"
"msg_016","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0024"
"msg_065","digest","promotion","The message is promotional but matches a topic or business the user has opted into.","0.84","message_0261"
"msg_038","digest","spam","The message is useful group information, but it is not urgent enough to interrupt the user.","0.78","message_0131"
"msg_086","notify","urgent","A verified business is sending a reminder that matches the user's recent booking history.","0.91","message_0222"
"msg_014","mute","promotion","The user has opted out of or repeatedly dismissed similar marketing messages.","0.87","message_0258"
"msg_094","mute","promotion","The message is promotional and the user has no existing relationship with this business.","0.81","none"
"msg_029","digest","promotion","The sender is trusted, but the message has no urgent action or safety relevance.","0.84","message_0332"
"msg_105","mute","forward","The sender has a pattern of repeated forwards or greetings that the user usually ignores.","0.87","message_0233"
"msg_002","notify","urgent","The message is from a work context and contains a direct deadline or meeting dependency.","0.91","message_0169"
"msg_010","digest","business_update","The verified business message is legitimate but does not require immediate attention.","0.84","message_0011"
"msg_078","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0212"
"msg_013","digest","promotion","The message is useful group information, but it is not urgent enough to interrupt the user.","0.78","none"
"msg_018","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0026"
"msg_044","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0144"
"msg_032","digest","personal","The message is safe casual chat with no urgent action required.","0.84","message_0119"
"msg_106","notify","event","A close contact sent a short urgent request that should interrupt the user.","0.91","message_0234"
"msg_006","notify","business_update","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0029"
"msg_109","mute","scam","The message tries to instruct the router, but the routing decision should be based on the actual content and risk.","0.87","message_0151"
"msg_108","mute","scam","The message tries to instruct the router, but the routing decision should be based on the actual content and risk.","0.85","message_0094"
"msg_019","mute","scam","This is the first message from the sender and it asks for sensitive verification or payment.","0.87","message_0094"
"msg_088","mute","business_update","The user has muted this group and the message does not address them directly.","0.87","message_0224"
"msg_056","notify","urgent","The group is muted, but the message mentions this user directly and asks for their attention.","0.91","message_0168"
"msg_027","digest","promotion","The message is promotional but matches a topic or business the user has opted into.","0.84","message_0109"
"msg_050","digest","business_update","A verified business is sending a legitimate but non-urgent update.","0.84","message_0279"
"msg_083","digest","personal","The message is safe casual chat with no urgent action required.","0.78","message_0219"
"msg_063","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0182"
"msg_033","digest","personal","The message is safe casual chat with no urgent action required.","0.78","none"
"msg_061","mute","forward","The user has muted this group and the message does not address them directly.","0.87","message_0194"
"msg_020","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.83","none"
"msg_017","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0090"
"msg_058","mute","forward","The user has muted this group and the message does not address them directly.","0.87","message_0040"
"msg_026","mute","scam","This is the first message from the sender and it asks for sensitive verification or payment.","0.87","message_0032"
"msg_047","notify","business_update","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0150"
"msg_046","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0148"
"msg_042","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0140"
"msg_079","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0213"
"msg_098","notify","urgent","A close contact sent a short urgent request that should interrupt the user.","0.91","message_0226"
"msg_037","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0001"
"msg_007","digest","event","The message describes an event far enough ahead that it does not need to interrupt the user now.","0.80","none"
"msg_085","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0221"
"msg_001","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0057"
"msg_021","notify","payment","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0029"
